Polling Firm,Fieldwork date,SPD,Union,Grune,FDP,AfD,Linke,Others
INSA,23–26 Sep 2022,18,27.5,19.5,8,15,5.5,6.5
Forsa,20–26 Sep 2022,18,28,20,7,13,5,9
INSA,19–23 Sep 2022,19,28,19,8,14,5,7
Wahlkreisprognose,20–22 Sep 2022,22,26,18,8,13.5,4,8.5
Kantar,14–20 Sep 2022,19,27,20,7,14,5,8
GMS,14–20 Sep 2022,21,28,20,7,13,4,9
INSA,16–19 Sep 2022,18.5,28.5,19,7.5,14,5.5,7
Forsa,13–19 Sep 2022,19,28,19,7,13,5,9
INSA,12–16 Sep 2022,19,28,19,7,13,6,8
Infratest dimap,13–14 Sep 2022,17,28,21,7,14,5,8
Allensbach,1–14 Sep 2022,20,30,19,7,13,5.5,5.5
YouGov,9–13 Sep 2022,16,29,19,6,14,7,8
Kantar,7–13 Sep 2022,20,26,21,7,13,5,8
Forsa,6–13 Sep 2022,19,28,20,6,13,5,9
INSA,9–12 Sep 2022,18,28,20,8,13.5,5.5,7
Wahlkreisprognose,9–11 Sep 2022,20,25.5,19,7,14,5.5,9
INSA,5–9 Sep 2022,19,27,20,8,13,5,8
Forschungsgruppe Wahlen,6–8 Sep 2022,19,28,23,6,13,5,6
Kantar,31 Aug – 6 Sep 2022,20,25,21,8,12,5,9
INSA,2–5 Sep 2022,18,28,20.5,7.5,13.5,5.5,7
Forsa,30 Aug – 5 Sep 2022,18,26,24,7,11,5,9
Ipsos,2–4 Sep 2022,19,26,21,8,12,6,8
INSA,29 Aug – 2 Sep 2022,19,28,20,8,13,5,7
Infratest dimap,29–31 Aug 2022,17,27,22,8,13,5,8
Kantar,24–30 Aug 2022,21,24,22,8,12,5,8
INSA,26–29 Aug 2022,19,27.5,20.5,8,13,5.5,6.5
Forsa,23–29 Aug 2022,17,26,25,7,11,5,9
INSA,22–26 Aug 2022,20,28,21,8,12,5,6
Civey,18–25 Aug 2022,19,27,22,7,11,5,9
Kantar,17–23 Aug 2022,19,26,23,7,12,5,8
INSA,19–22 Aug 2022,18.5,28,21,7.5,13,5.5,6.5
Forsa,16–22 Aug 2022,18,26,25,7,11,4,9
INSA,15–19 Aug 2022,19,28,21,8,12,5,7
Wahlkreisprognose,16–18 Aug 2022,18,25,26,6,14,3,8
Allensbach,5–18 Aug 2022,19.5,29,21,8,12,5,5.5
Infratest dimap,16–17 Aug 2022,18,28,23,7,12,4,8
Kantar,10–16 Aug 2022,20,28,23,6,12,4,7
INSA,12–15 Aug 2022,19,28,22,8,12,5,6
Forsa,9–15 Aug 2022,18,26,25,6,11,4,10
INSA,8–12 Aug 2022,19,27,22,9,12,5,6
Wahlkreisprognose,6–12 Aug 2022,16,24,25.5,8,14.5,3.5,8.5
Forschungsgruppe Wahlen,9–11 Aug 2022,19,26,26,7,12,4,6
YouGov,5–10 Aug 2022,19,27,21,6,14,6,8
Kantar,3–9 Aug 2022,21,27,22,7,11,5,7
Ipsos,5–8 Aug 2022,19,27,22,8,11,5,8
INSA,5–8 Aug 2022,18,27,21.5,8,12.5,5.5,7.5
Forsa,2–8 Aug 2022,18,26,24,7,10,5,10
INSA,1–5 Aug 2022,19,27,21,9,12,5,7
Infratest dimap,1–3 Aug 2022,17,28,23,7,13,4,8
Kantar,26 Jul – 2 Aug 2022,21,25,23,6,11,5,9
INSA,29 Jul – 1 Aug 2022,18.5,26.5,22,8,12,5,8
Forsa,26 Jul – 1 Aug 2022,18,27,24,7,10,5,9
INSA,25–29 Jul 2022,19,26,22,9,12,5,7
Kantar,19–26 Jul 2022,21,26,22,7,11,5,8
INSA,22–25 Jul 2022,18.5,26.5,22,8,12,5,8
GMS,20–25 Jul 2022,18,27,23,9,10,5,8
Forsa,19–25 Jul 2022,19,26,24,6,10,5,10
INSA,18–22 Jul 2022,18,27,23,8,12,5,7
Allensbach,8–21 Jul 2022,22,27.5,22,7,11,5,5.5
Infratest dimap,19–20 Jul 2022,19,27,22,7,12,4,9
Wahlkreisprognose,19–20 Jul 2022,22,24,24,8.5,10.5,3.5,7.5
Kantar,13–19 Jul 2022,19,25,23,8,11,5,9
INSA,15–18 Jul 2022,18.5,26.5,22,8,12,4.5,8.5
Forsa,12–18 Jul 2022,20,26,24,6,9,5,10
Civey,11–18 Jul 2022,20,27,23,7,10,5,8
INSA,11–15 Jul 2022,19,26,22,8,11,5,9
Forschungsgruppe Wahlen,12–14 Jul 2022,21,26,25,6,11,5,6
Kantar,6–12 Jul 2022,20,25,24,8,11,4,8
INSA,8–11 Jul 2022,20,27,21,8.5,11,4.5,8
Forsa,5–11 Jul 2022,19,26,24,7,9,5,10
INSA,4–8 Jul 2022,19,28,22,8,10,4,9
Wahlkreisprognose,5–6 Jul 2022,22,25,22,8,10,4,9
Infratest dimap,4–6 Jul 2022,19,27,23,8,11,4,8
YouGov,1–5 Jul 2022,19,28,20,7,12,5,9
Kantar,28 Jun – 5 Jul 2022,20,25,24,7,10,5,9
INSA,1–4 Jul 2022,19,28,21,9.5,11,4,7.5
Forsa,28 Jun – 4 Jul 2022,20,26,24,8,9,4,9
Ipsos,1–2 Jul 2022,22,26,20,9,10,5,8
INSA,27 Jun – 2 Jul 2022,20,27,22,9,11,4,7
Forschungsgruppe Wahlen,28–30 Jun 2022,21,27,25,6,10,5,6
Kantar,21–28 Jun 2022,20,26,25,8,10,4,7
INSA,24–27 Jun 2022,20,27,21.5,9,10.5,4,8
Forsa,21–27 Jun 2022,20,26,24,8,9,4,9
Wahlkreisprognose,23–26 Jun 2022,22,25,21,7,12,4,9
INSA,20–24 Jun 2022,20,26,22,9,11,4,8
Infratest dimap,21–22 Jun 2022,20,26,23,8,12,4,7
Kantar,14–21 Jun 2022,20,26,24,8,10,4,8
INSA,17–20 Jun 2022,19.5,28,21,9.5,10,4,8
GMS,15–20 Jun 2022,21,29,21,8,8,4,9
Forsa,14–20 Jun 2022,19,28,23,8,9,4,9
INSA,13–17 Jun 2022,20,27,21,9,10,4,9
Allensbach,3–17 Jun 2022,23,27,22,8,10,4.5,5.5
Forschungsgruppe Wahlen,13–15 Jun 2022,22,26,25,6,10,5,6
Kantar,8–14 Jun 2022,20,28,22,8,9,4,9
INSA,10–13 Jun 2022,20,27.5,21,9.5,10.5,3.5,8
Forsa,7–13 Jun 2022,20,27,23,8,9,4,9
INSA,7–10 Jun 2022,21,27,21,9,10,4,8
Wahlkreisprognose,7–8 Jun 2022,22,24,20,7,13,6,8
Ipsos,3–7 Jun 2022,23,27,19,9,10,4,8
YouGov,3–7 Jun 2022,18,30,21,7,12,6,7
INSA,3–7 Jun 2022,20,27,21.5,9.5,10.5,3.5,8
Kantar,1–7 Jun 2022,22,26,23,9,8,4,8
Forsa,31 May – 3 Jun 2022,19,27,23,8,10,4,9
INSA,30 May – 3 Jun 2022,22,27,20,9,9,4,9
Infratest dimap,30 May – 1 Jun 2022,21,27,21,8,11,4,8
Wahlkreisprognose,30 May – 1 Jun 2022,18,27,25.5,8,9,4,8.5
Kantar,24–31 May 2022,20,28,23,8,8,4,9
INSA,27–30 May 2022,22,27,20.5,8.5,10,3.5,8.5
GMS,25–30 May 2022,22,30,20,8,7,4,9
Forsa,24–30 May 2022,19,29,24,7,9,4,8
INSA,23–27 May 2022,23,27,19,9,9,4,9
Kantar,17–24 May 2022,21,27,21,8,9,5,9
INSA,20–23 May 2022,22,28.5,20,8.5,10.5,3,7.5
Forsa,17–23 May 2022,21,28,23,7,9,4,8
Civey,16–23 May 2022,22,27,20,8,11,5,7
INSA,16–20 May 2022,21,28,19,10,10,3,9
Forschungsgruppe Wahlen,17–19 May 2022,22,26,24,7,10,4,7
Allensbach,6–18 May 2022,24,29,20.5,8,9,4.5,5
Kantar,11–17 May 2022,22,26,21,8,10,5,8
Wahlkreisprognose,15–16 May 2022,23.5,29,23,5.5,7.5,2.5,9
INSA,13–16 May 2022,21.5,28,20.5,9,11,3,7
Forsa,10–16 May 2022,22,27,22,8,8,4,9
INSA,9–13 May 2022,22,27,18,10,10,4,9
Infratest dimap,10–11 May 2022,22,26,20,8,11,4,9
YouGov,6–10 May 2022,20,28,19,9,10,5,8
Kantar,4–10 May 2022,22,26,20,9,10,5,8
Wahlkreisprognose,8–9 May 2022,24,23.5,22.5,10.5,9,3,7.5
INSA,6–9 May 2022,22.5,27.5,19,10,10.5,3.5,7
Forsa,3–9 May 2022,23,26,21,9,9,4,8
Ipsos,6 May 2022,24,25,16,11,11,5,8
INSA,2–6 May 2022,23,27,18,11,10,3,8
pollytix,29 Apr – 4 May 2022,22,26,17,12,12,5,6
Kantar,26 Apr – 3 May 2022,23,27,19,9,9,5,8
INSA,29 Apr – 2 May 2022,23,27,19,9.5,10.5,4.5,6.5
Forsa,26 Apr – 2 May 2022,23,26,20,9,9,4,9
INSA,25–29 Apr 2022,23,26,18,10,11,4,8
Forschungsgruppe Wahlen,26–28 Apr 2022,25,23,21,9,11,4,7
Infratest dimap,25–27 Apr 2022,24,26,18,9,11,3,9
Kantar,19–26 Apr 2022,23,25,20,9,9,5,9
INSA,22–25 Apr 2022,24,26.5,18,9,11.5,4.5,6.5
GMS,20–25 Apr 2022,26,26,18,8,9,4,9
Forsa,19–25 Apr 2022,24,25,20,9,9,4,9
Civey,8–25 Apr 2022,24,25,20,9,11,4,7
Wahlkreisprognose,23 Apr 2022,24.5,22.5,22,11,8.5,3,8.5
INSA,19–22 Apr 2022,24,26,18,9,11,5,7
Kantar,12–19 Apr 2022,25,25,19,9,9,4,9
INSA,15–18 Apr 2022,23.5,26,19,9,11,4.5,7
Forsa,12–14 Apr 2022,25,25,20,8,9,4,9
INSA,11–14 Apr 2022,25,26,17,10,10,5,7
Infratest dimap,11–12 Apr 2022,24,26,18,8,11,4,9
YouGov,8–12 Apr 2022,21,26,18,9,12,6,8
Kantar,6–12 Apr 2022,26,25,19,8,10,4,8
INSA,8–11 Apr 2022,25,27,17.5,9,11,4.5,6
Forsa,5–11 Apr 2022,27,24,19,8,9,4,9
INSA,4–8 Apr 2022,25,26,16,10,11,4,8
Forschungsgruppe Wahlen,5–7 Apr 2022,27,24,19,8,11,4,7
Infratest dimap,4–6 Apr 2022,24,25,19,9,11,4,8
Allensbach,25 Mar – 6 Apr 2022,28,24,17,9,9,6,7
Kantar,30 Mar – 5 Apr 2022,27,25,19,8,10,4,7
Wahlkreisprognose,3–4 Apr 2022,27,25.5,19,8.5,9,3,8
INSA,1–4 Apr 2022,25,26,17.5,10.5,10.5,4.5,6
Ipsos,1 Apr 2022,25,23,15,12,12,6,7
Forsa,29 Mar – 4 Apr 2022,27,24,19,8,9,4,9
INSA,25 Mar – 1 Apr 2022,26,26,16,10,11,4,7
Kantar,23–29 Mar 2022,25,26,18,9,9,5,8
INSA,25–28 Mar 2022,25,26,16.5,10,10.5,5.5,6.5
Forsa,22–28 Mar 2022,24,26,18,9,9,5,9
INSA,21–25 Mar 2022,26,26,16,10,11,5,6
Kantar,16–22 Mar 2022,26,25,18,9,9,6,7
INSA,18–21 Mar 2022,24.5,26.5,16.5,11,11,4.5,6
Forsa,15–21 Mar 2022,23,27,18,10,9,5,8
Allensbach,9–21 Mar 2022,25,25,17,10.5,10,5,7.5
Wahlkreisprognose,18–20 Mar 2022,26.5,25.5,18.5,10,8.5,3,8
INSA,14–18 Mar 2022,26,26,16,10,10,5,7
Infratest dimap,15–16 Mar 2022,25,26,17,9,11,4,8
Kantar,9–15 Mar 2022,26,26,19,8,9,5,7
INSA,11–14 Mar 2022,25,25.5,15.5,10.5,10.5,5,8
Forsa,8–14 Mar 2022,25,26,18,9,9,5,8
INSA,7–11 Mar 2022,26,24,16,10,10,6,8
Forschungsgruppe Wahlen,8–10 Mar 2022,27,24,18,9,10,5,7
YouGov,4–8 Mar 2022,23,26,16,9,11,6,8
Kantar,2–8 Mar 2022,25,26,19,8,10,5,7
INSA,4–7 Mar 2022,25,24.5,15.5,11,10.5,6,7.5
Ipsos,4 mar 2022,25,24,16,11,11,6,7
Forsa,1–7 Mar 2022,26,25,18,9,7,6,9
INSA,28 Feb – 4 Mar 2022,25,25,15,11,11,6,7
Infratest dimap,28 Feb – 2 Mar 2022,25,26,16,9,11,5,8
Kantar,23 Feb – 1 Mar 2022,26,26,17,8,10,6,7
INSA,25–28 Feb 2022,23,27,15.5,11,10.5,6.5,6.5
Forsa,24–28 Feb 2022,25,26,18,9,7,6,9
Wahlkreisprognose,24–27 Feb 2022,26,23.5,17.5,11.5,10.5,4,7
GMS,23–26 Feb 2022,24,27,15,10,9,6,9
INSA,21–25 Feb 2022,23,26,15,11,12,7,6
Forschungsgruppe Wahlen,21–23 Feb 2022,26,24,17,9,11,6,7
Kantar,16–22 Feb 2022,26,25,17,9,10,7,6
INSA,18–21 Feb 2022,23,27,14.5,12.5,11,6,6
Forsa,15–21 Feb 2022,23,27,17,9,9,6,9
INSA,14–18 Feb 2022,22,27,15,11,12,7,6
Infratest dimap,15–16 Feb 2022,24,26,15,9,12,5,9
Allensbach,3–16 Feb 2022,23,27,15,10.5,10,6,6.5
Wahlkreisprognose,13–15 Feb 2022,25,24.5,17,9.5,9.5,6,8.5
YouGov,10–15 Feb 2022,21,27,17,9,11,7,7
Kantar,8–15 Feb 2022,24,24,16,10,12,6,8
INSA,11–14 Feb 2022,22.5,26,15,12,12,6,6.5
Forsa,8–14 Feb 2022,23,27,16,9,9,6,10
INSA,7–11 Feb 2022,22,26,16,11,12,6,7
Forschungsgruppe Wahlen,8–10 Feb 2022,25,25,16,9,11,6,8
pollytix,4–8 Feb 2022,23,27,15,9,12,8,6
Kantar,1–8 Feb 2022,22,26,16,10,12,6,8
INSA,4–7 Feb 2022,23,26,15,12,11,7,6
Ipsos,4 Feb 2022,25,24,16,8,12,8,7
Forsa,1–7 Feb 2022,22,27,16,9,10,6,10
INSA,1–4 Feb 2022,22,27,16,11,11,6,7
Wahlkreisprognose,1–3 Feb 2022,21,28,19,8.5,10,5.5,8
Civey,22 Jan – 3 Feb 2022,25,25,15,10,11,6,8
Infratest dimap,31 Jan – 2 Feb 2022,22,27,16,10,12,5,8
Kantar,26 Jan – 1 Feb 2022,24,24,17,9,11,6,9
INSA,28–31 Jan 2022,24,25,15,12.5,10,6.5,7
Forsa,25–31 Jan 2022,23,27,16,9,10,6,9
INSA,24–28 Jan 2022,26,24,16,11,11,6,6
Forschungsgruppe Wahlen,25–27 Jan 2022,24,23,18,10,10,7,8
YouGov,21–25 Jan 2022,23,26,15,8,12,8,9
Kantar,19–25 Jan 2022,24,24,18,10,10,6,8
INSA,21–24 Jan 2022,26,24,15,11.5,11,6,6.5
Forsa,18–24 Jan 2022,25,24,16,10,10,6,9
INSA,17–21 Jan 2022,26,23,16,12,12,6,5
Allensbach,6–20 Jan 2022,27.5,23,14.5,12.5,10,5.5,7
Infratest dimap,18–19 Jan 2022,25,24,16,10,12,5,8
Wahlkreisprognose,15–18 Jan 2022,27.5,22.5,17,10.5,10,4.5,8
Kantar,12–18 Jan 2022,26,22,17,9,12,6,8
INSA,14–17 Jan 2022,26,22.5,15.5,12,12,6,6
Forsa,11–17 Jan 2022,25,25,16,10,10,5,9
INSA,10–14 Jan 2022,27,23,16,11,12,5,6
Forschungsgruppe Wahlen,11–13 Jan 2022,27,22,16,11,10,6,8
Kantar,5–11 Jan 2022,26,23,17,10,10,6,8
INSA,7–10 Jan 2022,26.5,23,15,12,12,5,6.5
Forsa,3–10 Jan 2022,25,25,17,10,9,5,9
Ipsos,6–9 Jan 2022,25,21,15,11,12,6,10
INSA,3–7 Jan 2022,27,23,16,12,11,5,6
Infratest dimap,3–5 Jan 2022,26,23,16,11,11,5,8
INSA,30 Dec – 3 Jan 2022,26.5,23,15.5,11,11.5,6,6.5
GMS,29 Dec – 3 Jan 2022,26,24,16,12,11,4,7
INSA,27–30 Dec 2021,27,24,16,10,11,5,7
INSA,20–23 Dec 2021,28,23,15,11,11,5,7
INSA,17–20 Dec 2021,27.5,21.5,14.5,13,11.5,5.5,6.5
Forsa,14–20 Dec 2021,26,24,16,10,9,5,10
Wahlkreisprognose,18–19 Dec 2021,30,21.5,14.5,11.5,10,4,8.5
INSA,13–18 Dec 2021,27,23,14,12,12,5,7
Kantar,14–16 Dec 2021,27,22,16,11,11,5,8
Allensbach,1–15 Dec 2021,26,24,15,13,10.5,5,6.5
YouGov,10–14 Dec 2021,27,23,16,10,11,6,8
Kantar,8–14 Dec 2021,27,22,16,11,10,5,9
INSA,10–13 Dec 2021,27,22,14.5,13,11.5,5.5,6.5
Forsa,7–13 Dec 2021,26,23,15,11,10,5,10
INSA,6–10 Dec 2021,26,22,15,13,11,5,8
Forschungsgruppe Wahlen,7–9 Dec 2021,28,21,17,12,10,5,7
Infratest dimap,7–8 Dec 2021,26,23,16,12,11,5,7
Civey,1–8 Dec 2021,27,23,15,11,11,5,8
Kantar,1–7 Dec 2021,28,21,15,11,11,5,9
INSA,3–6 Dec 2021,26,22,15,13.5,11.5,5.5,6.5
Wahlkreisprognose,1–6 Dec 2021,29,18,16.5,13.5,11,4,8
Forsa,30 Nov – 6 Dec 2021,25,22,17,11,10,5,10
INSA,29 Nov – 3 Dec 2021,26,21,15,13,12,5,8
Infratest dimap,29 Nov – 1 Dec 2021,25,23,17,12,11,5,7
Civey,24 Nov – 1 Dec 2021,26,24,15,11,11,5,8
Kantar,24–30 Nov 2021,27,20,16,12,11,6,8
INSA,26–29 Nov 2021,25,21,16,14,11,5.5,7.5
Forsa,23–29 Nov 2021,24,22,17,12,10,5,10
INSA,22–26 Nov 2021,26,21,15,13,12,6,7
Forschungsgruppe Wahlen,23–25 Nov 2021,28,19,17,13,11,5,7
Infratest dimap,23–24 Nov 2021,25,21,17,13,11,5,8
Wahlkreisprognose,22–24 Nov 2021,27,22.5,15.5,11.5,10,5,8.5
Civey,17–24 Nov 2021,25,24,15,11,11,5,9
YouGov,19–23 Nov 2021,25,23,16,11,12,6,7
Kantar,17–23 Nov 2021,24,22,18,11,11,6,8
INSA,19–22 Nov 2021,26,22,14,14,11,5.5,7.5
Forsa,16–22 Nov 2021,24,22,17,12,10,5,10
INSA,15–19 Nov 2021,26,21,15,13,12,5,8
Civey,10–17 Nov 2021,26,23,15,12,11,5,8
Kantar,10–16 Nov 2021,24,21,18,12,11,6,8
INSA,12–15 Nov 2021,27,21,15,13,11.5,5.5,7
Forsa,9–15 Nov 2021,24,22,17,12,10,5,10
INSA,8–12 Nov 2021,26,22,15,13,11,5,8
Forschungsgruppe Wahlen,9–11 Nov 2021,28,20,16,13,11,5,7
Allensbach,29 Oct – 11 Nov 2021,27,23,15,14,9.5,5.5,6
Civey,3–10 Nov 2021,26,22,15,13,11,5,8
Kantar,3–9 Nov 2021,25,21,16,14,10,6,8
INSA,5–8 Nov 2021,26.5,20.5,16,13.5,10.5,5.5,7.7
Forsa,2–8 Nov 2021,25,22,16,14,9,5,9
INSA,1–5 Nov 2021,27,21,15,14,11,5,7
Wahlkreisprognose,31 Oct – 5 Nov 2021,28,20.5,15.5,14,10.5,4,7.5
GMS,1–4 Nov 2021,26,21,16,15,10,4,8
Infratest dimap,2–3 Nov 2021,27,21,16,13,10,5,8
Civey,27 Oct – 3 Nov 2021,26,22,15,13,11,5,8
Kantar,27 Oct – 2 Nov 2021,25,22,16,13,10,5,9
INSA,29 Oct – 1 Nov 2021,27,20,16,13.5,11.5,5,7
Forsa,26 Oct – 1 Nov 2021,25,21,16,15,9,5,9
INSA,25–29 Oct 2021,27,21,16,13,11,5,7
Forschungsgruppe Wahlen,26–28 Oct 2021,27,20,16,14,11,5,7
Infratest dimap,26–27 Oct 2021,26,22,16,13,10,4,9
Civey,20–27 Oct 2021,25,21,15,14,12,5,8
Kantar,19–26 Oct 2021,25,21,17,14,11,5,7
INSA,22–25 Oct 2021,28,20,16,14,11,5,6
Forsa,19–25 Oct 2021,25,20,17,16,9,5,8
INSA,18–22 Oct 2021,27,20,17,14,11,4,7
Civey,13–20 Oct 2021,25,20,15,15,11,6,8
Kantar,13–19 Oct 2021,25,21,16,13,11,5,9
INSA,15–18 Oct 2021,28,18.5,16,15,11.5,5,6
Forsa,12–18 Oct 2021,26,20,16,15,9,5,9
INSA,11–15 Oct 2021,28,19,16,13,11,4,9
Forschungsgruppe Wahlen,12–14 Oct 2021,28,19,17,13,11,5,7
Allensbach,1–14 Oct 2021,28,21,15,14,9.5,5,7.5
Civey,6–13 Oct 2021,26,20,14,15,11,6,8
Kantar,6–12 Oct 2021,26,19,17,14,10,5,9
INSA,8–11 Oct 2021,28.5,19.5,16,14.5,11,4,6.5
Wahlkreisprognose,7–10 Oct 2021,27,19,17.5,14,10,4,8.5
Forsa,5–11 Oct 2021,26,20,16,14,9,5,10
INSA,4–8 Oct 2021,28,20,15,14,10,5,8
Civey,29 Sep – 6 Oct 2021,28,19,15,14,11,6,7
Kantar,28 Sep – 5 Oct 2021,26,20,17,13,10,5,9
INSA,1–4 Oct 2021,28,21,15.5,13.5,10,4.5,7.5
Forsa,27 Sep – 4 Oct 2021,26,20,16,14,9,5,10
INSA,27 Sep – 1 Oct 2021,28,21,16,12,10,5,8
Forschungsgruppe Wahlen,28–30 Sep 2021,28,20,16,13,10,5,8
