Polling Firm,Fieldwork Period,United Right,Civic Coalition,The Left,Polish Coalition,Confederation,Poland 2050,Others / Don't know
Social Changes / wPolityce.pl,2021-01-11,32.0,23.0,9.0,2.0,8.0,22.0,1.0
"IBRiS / ""Rz""",2021-01-09,33.2,20.6,7.7,5.2,6.4,12.6,14.3
Social Changes / wPolityce.pl,2021-01-05,33.0,29.0,12.0,4.0,9.0,NA,9.0
Social Changes / wPolityce.pl,2021-01-05,31.0,24.0,10.0,2.0,7.0,19.0,3.0
Estymator / DoRzeczy.pl,2020-12-29,39.2,23.6,10.9,7.4,4.8,12.9,1.2
Social Changes / wPolityce.pl,2020-12-28,35.0,25.0,13.0,3.0,9.0,NA,10.0
Social Changes / wPolityce.pl,2020-12-28,33.0,19.0,11.0,3.0,8.0,20.0,2.0
IBRiS / WP.pl,2020-12-22,33.2,23.6,8.9,6.0,4.5,9.1,14.7
Social Changes / wPolityce.pl,2020-12-21,33.0,26.0,14.0,2.0,9.0,NA,11.0
Social Changes / wPolityce.pl,2020-12-21,31.0,20.0,11.0,4.0,10.0,20.0,2.0
IBRiS / Onet.pl,2020-12-16,33.0,22.3,7.1,6.1,4.9,11.0,15.5
Social Changes / wPolityce.pl,2020-12-14,36.0,26.0,12.0,4.0,10.0,NA,9.0
Social Changes / wPolityce.pl,2020-12-14,34.0,20.0,10.0,4.0,8.0,19.0,2.0
Pollster / SE.pl,2020-12-12,40.05,26.29,8.52,5.27,06.03,12.44,1.4
IBRiS / WP.pl,2020-12-12,34.0,23.4,9.7,6.2,4.0,14.4,8.3
Estymator / DoRzeczy.pl,2020-12-11,38.3,24.9,10.9,5.7,4.4,13.2,0.2
PGB Opinium,2020-12-10,33.7,23.8,9.0,4.8,5.9,13.6,8.6
CBOS,2020-12-10,31.1,18.1,3.9,2.0,5.1,15.6,22.2
Kantar Public,2020-12-09,25.0,25.0,8.0,5.0,6.0,13.0,16.0
Social Changes / wPolityce.pl,2020-12-08,31.0,27.0,13.0,3.0,10.0,NA,13.0
Social Changes / wPolityce.pl,2020-12-08,28.0,22.0,11.0,3.0,10.0,22.0,1.0
Social Changes / wPolityce.pl,2020-11-30,32.0,28.0,14.0,3.0,11.0,NA,12.0
Social Changes / wPolityce.pl,2020-11-30,29.0,21.0,12.0,3.0,10.0,23.0,2.0
"United Surveys / DGP, RMF",2020-11-28,33.6,23.0,9.8,6.1,4.7,11.8,11.0
IBRiS / WP.pl,2020-11-27,32.7,22.4,10.1,5.8,5.4,12.6,11.0
Estymator / DoRzeczy.pl,2020-11-27,36.9,27.4,9.6,4.8,5.2,15.8,0.3
IPSOS / OKO.press,2020-11-25,29.0,23.0,10.0,4.0,9.0,20.0,5.0
Kantar Public / TVN,2020-11-23,27.0,25.0,8.0,4.0,7.0,14.0,15.0
Social Changes / wPolityce.pl,2020-11-23,33.0,26.0,13.0,5.0,10.0,NA,13.0
Social Changes / wPolityce.pl,2020-11-23,32.0,21.0,10.0,4.0,9.0,21.0,3.0
Social Changes / wPolityce.pl,2020-11-16,32.0,31.0,12.0,6.0,8.0,NA,11.0
Social Changes / wPolityce.pl,2020-11-16,28.0,24.0,10.0,6.0,7.0,22.0,3.0
CBOS,2020-11-15,29.8,16.3,6.0,2.5,6.8,16.3,22.3
IBRiS / WP.pl,2020-11-14,33.0,24.1,8.4,5.0,2.3,13.1,14.0
Estymator / DoRzeczy.pl,2020-11-13,36.8,29.3,9.4,4.6,6.6,12.7,0.6
Kantar Public,2020-11-12,30.0,24.0,6.0,6.0,6.0,13.0,15.0
Social Changes / wPolityce.pl,2020-11-09,32.0,29.0,15.0,7.0,9.0,NA,8.0
Social Changes / wPolityce.pl,2020-11-09,31.0,21.0,12.0,5.0,8.0,22.0,1.0
IBRiS / Onet,2020-11-03,28.7,24.7,7.0,5.1,5.1,11.3,18.0
Social Changes / wPolityce.pl,2020-11-02,30.0,27.0,14.0,6.0,10.0,NA,13.0
United Surveys / RMF,2020-10-31,30.9,25.3,6.0,2.7,4.9,14.7,15.4
"IBRiS / ""Rz""",2020-10-31,28.0,23.1,6.2,2.8,4.4,14.9,20.6
IBRiS / WP.pl,2020-10-30,29.0,24.0,6.9,3.3,5.3,14.9,16.6
Estymator / DoRzeczy.pl,2020-10-30,33.4,26.8,10.4,4.1,8.7,13.0,3.6
CBOS,2020-10-29,31.3,18.1,6.9,3.7,8.1,9.7,22.2
Pollster / SE.pl,2020-10-28,37.83,31.57,9.76,5.12,5.98,8.35,1.39
PGB Opinium,2020-10-28,32.6,25.5,8.2,4.1,9.3,12.8,7.5
"Kantar Public / ""GW""",2020-10-27,26.0,24.0,8.0,3.0,8.0,18.0,13.0
Social Changes / wPolityce.pl,2020-10-26,37.0,26.0,13.0,6.0,11.0,NA,7.0
Estymator / DoRzeczy.pl,2020-10-23,39.8,27.0,7.0,4.3,9.2,12.2,0.5
IBRiS / Onet.pl,2020-10-20,37.0,26.8,7.5,3.8,7.2,8.7,9.0
Social Changes / wPolityce.pl,2020-10-19,39.0,26.0,11.0,7.0,12.0,NA,5.0
IBRiS / WP.pl,2020-10-16,36.1,28.2,6.4,2.5,7.8,9.4,9.6
Social Changes / wPolityce.pl,2020-10-12,36.0,27.0,14.0,5.0,12.0,NA,6.0
CBOS,2020-10-08,40.4,15.7,5.3,3.1,8.1,7.7,19.7
Kantar Public,2020-10-07,36.0,28.0,7.0,4.0,5.0,9.0,9.0
Social Changes / wPolityce.pl,2020-10-05,36.0,20.0,13.0,4.0,10.0,15.0,2.0
Social Changes / wPolityce.pl,2020-10-05,38.0,24.0,14.0,6.0,11.0,NA,7.0
IBRiS / WP.pl,2020-10-02,41.6,22.1,7.2,4.0,7.5,9.0,8.5
Social Changes / wPolityce.pl,2020-09-28,42.0,25.0,11.0,7.0,9.0,NA,6.0
Estymator / DoRzeczy.pl,2020-09-26,42.9,25.6,6.4,5.2,8.2,11.4,0.3
Estymator / DoRzeczy.pl,2020-09-26,43.6,29.2,8.9,6.8,9.8,NA,1.7
Social Changes / wPolityce.pl,2020-09-21,40.0,27.0,15.0,5.0,9.0,NA,4.0
Social Changes / wPolityce.pl,2020-09-21,37.0,20.0,12.0,5.0,10.0,15.0,1.0
United Surveys / RMF,2020-09-19,40.5,23.3,6.0,5.0,6.7,9.1,9.4
IBRiS / WP.pl,2020-09-18,40.9,22.4,5.4,3.2,8.1,11.2,8.8
CBOS,2020-09-17,40.7,22.0,5.1,2.7,7.6,NA,21.9
Social Changes / wPolityce.pl,2020-09-14,42.0,26.0,10.0,7.0,8.0,NA,7.0
Kantar Public,2020-09-09,39.0,26.0,4.0,4.0,6.0,11.0,10.0
Social Changes / wPolityce.pl,2020-09-07,42.0,25.0,12.0,6.0,9.0,NA,6.0
IBRiS / WP.pl,2020-09-05,41.3,28.6,6.7,5.9,8.4,NA,9.1
Social Changes / wPolityce.pl,2020-08-31,42.0,26.0,11.0,7.0,8.0,NA,6.0
Social Changes / wPolityce.pl,2020-08-24,41.0,25.0,13.0,6.0,0.0,9.0,6.0
IBRiS / WP.pl,2020-08-22,38.6,23.8,5.1,5.4,7.3,8.4,11.4
Social Changes / wPolityce.pl,2020-08-17,43.0,26.0,11.0,6.0,9.0,NA,5.0
Estymator / DoRzeczy.pl,2020-08-14,44.0,29.8,9.6,6.9,8.5,NA,1.2
Estymator / DoRzeczy.pl,2020-08-14,42.1,25.9,7.3,5.2,6.8,12.4,0.3
Social Changes / wPolityce.pl,2020-08-10,43.0,29.0,11.0,4.0,8.0,NA,5.0
IBRiS / WP.pl,2020-08-07,36.0,31.0,9.1,5.0,6.7,NA,12.2
IBRiS / WP.pl,2020-08-07,34.3,27.1,5.6,2.8,6.1,11.7,12.3
Social Changes / wPolityce.pl,2020-08-03,41.0,30.0,11.0,6.0,8.0,NA,4.0
Social Changes / wPolityce.pl,2020-08-03,39.0,21.0,9.0,3.0,7.0,20.0,1.0
IBRiS / KO,2020-07-29,36.0,33.0,6.0,5.0,6.0,NA,14.0
Social Changes / wPolityce.pl,2020-07-27,43.0,29.0,8.0,7.0,9.0,NA,4.0
IBRiS / WP.pl,2020-07-25,39.2,26.5,9.8,5.1,9.3,NA,10.1
IBRiS / WP.pl,2020-07-25,38.8,25.6,4.8,2.0,6.6,11.8,10.4
Estymator / DoRzeczy.pl,2020-07-24,43.9,30.8,9.4,6.5,8.8,NA,0.6
Estymator / DoRzeczy.pl,2020-07-24,41.5,24.7,8.7,5.4,7.9,11.4,0.4
Social Changes / wPolityce.pl,2020-07-20,42.0,28.0,10.0,5.0,11.0,NA,4.0
Social Changes / wPolityce.pl,2020-07-20,39.0,19.0,6.0,3.0,9.0,23.0,1.0
United Surveys / RMF,2020-07-18,37.5,29.1,8.0,5.4,8.7,NA,11.3
IBRiS / Onet,2020-07-18,39.7,28.1,9.9,5.8,8.0,NA,8.6
Pollster / SE.pl,2020-07-09,41.4,23.02,9.98,4.24,8.54,12.12,0.7
CBOS,2020-07-09,42.3,23.9,5.7,3.2,7.2,NA,17.7
IBRiS / Onet,2020-07-04,38.0,23.6,7.3,5.2,7.3,11.9,6.8
Social Changes / wPolityce.pl,2020-06-27,42.0,25.0,14.0,8.0,9.0,NA,2.0
Social Changes / wPolityce.pl,2020-06-27,41.0,20.0,9.0,5.0,6.0,18.0,1.0
IBSP,2020-06-26,43.85,30.94,8.88,6.15,9.75,NA,0.43
CBOS,2020-06-25,44.2,23.9,6.6,4.1,5.6,NA,15.6
IPSOS / OKO.press,2020-06-23,35.0,23.0,9.0,8.0,10.0,NA,16.0
Social Changes / wPolityce.pl,2020-06-23,40.0,30.0,13.0,7.0,8.0,NA,2.0
Social Changes / wPolityce.pl,2020-06-23,38.0,20.0,11.0,4.0,7.0,NA,1.0
Estymator / DoRzeczy.pl,2020-06-19,42.8,28.4,9.6,10.4,7.5,NA,0.3
Pollster / SE.pl,2020-06-17,41.3,29.6,10.7,9.1,8.8,NA,0.5
IPSOS / OKO.press,2020-06-16,37.0,24.0,10.0,6.0,10.0,NA,13.0
Social Changes / wPolityce.pl,2020-06-16,39.0,28.0,13.0,9.0,8.0,NA,3.0
Pollster / SE.pl,2020-06-10,42.2,26.5,11.4,8.9,9.7,NA,1.3
Kantar Public,2020-06-10,37.0,31.0,7.0,7.0,7.0,NA,10.0
Social Changes / wPolityce.pl,2020-06-09,42.0,26.0,13.0,9.0,8.0,NA,2.0
Kantar Public / PO,2020-06-08,36.0,29.0,8.0,5.0,10.0,NA,12.0
Estymator / DoRzeczy.pl,2020-06-04,42.6,27.4,10.1,11.4,7.2,NA,1.3
CBOS,2020-06-04,46.4,19.7,5.1,5.0,5.8,NA,18.0
Social Changes / wPolityce.pl,2020-06-02,43.0,24.0,13.0,8.0,9.0,NA,3.0
"IBRiS / ""Rz""",2020-05-29,41.0,24.3,9.0,11.2,7.5,NA,7.0
Pollster / SE.pl,2020-05-27,39.9,26.0,14.1,9.4,9.5,NA,1.1
Social Changes / wPolityce.pl,2020-05-25,42.0,24.0,14.0,9.0,9.0,NA,2.0
IBRiS / WP.pl,2020-05-23,40.3,23.4,8.1,13.4,6.6,NA,8.2
Estymator / DoRzeczy.pl,2020-05-22,41.9,26.1,11.6,11.9,6.6,NA,1.9
Kantar Public,2020-05-19,37.0,23.0,8.0,7.0,11.0,NA,14.0
Social Changes / wPolityce.pl,2020-05-18,47.0,21.0,14.0,8.0,7.0,NA,3.0
Pollster / SE.pl,2020-05-17,38.5,24.5,13.6,12.6,9.0,NA,1.8
Estymator / DoRzeczy.pl,2020-05-15,45.8,17.3,12.8,14.1,8.9,NA,1.1
Estymator / DoRzeczy.pl,2020-05-15,44.1,13.4,10.2,12.9,8.8,NA,0.0
Kantar Public / KO,2020-05-14,41.1,29.7,10.3,8.0,9.7,NA,1.2
Social Changes / wPolityce.pl,2020-05-14,47.0,18.0,12.0,11.0,9.0,NA,3.0
IBRiS / Onet,2020-05-09,37.7,15.6,8.2,12.8,8.7,NA,17.0
Kantar Public / KO,2020-05-08,39.3,28.5,13.0,9.4,8.9,NA,0.9
Social Changes / wPolityce.pl,2020-05-07,52.0,17.0,12.0,8.0,10.0,NA,1.0
Pollster / SE.pl,2020-05-04,40.2,23.7,14.7,11.0,9.4,NA,1.0
IPSOS / OKO.press,2020-04-29,38.0,16.0,10.0,8.0,8.0,NA,20.0
Social Changes / wPolityce.pl,2020-04-27,52.0,17.0,12.0,8.0,9.0,NA,2.0
Estymator / DoRzeczy.pl,2020-04-24,42.7,19.7,14.4,15.8,7.2,NA,0.2
Social Changes / wPolityce.pl,2020-04-20,53.0,17.0,12.0,7.0,10.0,NA,1.0
Kantar Public,2020-04-17,36.0,21.0,11.0,12.0,8.0,NA,12.0
Social Changes / wPolityce.pl,2020-04-13,52.0,15.0,11.0,8.0,11.0,NA,3.0
Estymator / DoRzeczy.pl,2020-04-09,45.4,20.4,15.9,12.6,5.4,NA,0.3
Pollster / SE.pl,2020-04-07,44.0,22.4,15.7,8.7,7.7,NA,1.5
Social Changes / wPolityce.pl,2020-04-06,49.0,18.0,14.0,10.0,9.0,NA,0.0
IBSP / wp.pl,2020-04-02,42.0,27.1,12.5,9.6,8.7,NA,0.1
Social Changes / wPolityce.pl,2020-03-30,51.0,21.0,12.0,7.0,8.0,NA,1.0
Estymator / DoRzeczy.pl,2020-03-26,44.3,22.9,15.0,12.3,5.2,NA,0.3
Social Changes / wPolityce.pl,2020-03-23,44.0,24.0,16.0,8.0,8.0,NA,0.0
Pollster / SE.pl,2020-03-18,41.9,23.8,15.4,10.2,8.2,NA,0.5
Social Changes / wPolityce.pl,2020-03-17,40.0,26.0,17.0,10.0,7.0,NA,0.0
CBOS,2020-03-15,49.1,20.6,7.7,7.0,6.9,NA,8.7
Estymator / DoRzeczy.pl,2020-03-13,42.0,25.3,15.2,10.3,6.5,NA,0.7
IBSP / wp.pl,2020-03-13,47.6,21.9,12.4,8.1,9.8,NA,0.2
Kantar Public,2020-03-11,41.0,28.0,10.0,7.0,5.0,NA,9.0
Social Changes / wPolityce.pl,2020-03-10,45.0,24.0,15.0,9.0,7.0,NA,0.0
Social Changes / wPolityce.pl,2020-03-02,41.0,26.0,18.0,7.0,8.0,NA,0.0
Estymator / DoRzeczy.pl,2020-02-28,41.7,28.6,13.4,9.6,6.2,NA,0.5
Pollster / SE.pl,2020-02-26,41.4,25.1,14.4,9.8,8.3,NA,1.0
Social Changes / wPolityce.pl,2020-02-24,41.0,25.0,16.0,8.0,9.0,NA,1.0
IPSOS / OKO.press,2020-02-22,38.0,26.0,13.0,7.0,8.0,NA,8.0
IBSP / wp.pl,2020-02-20,38.4,30.9,13.4,7.9,9.0,NA,0.4
Social Changes / wPolityce.pl,2020-02-18,39.0,25.0,16.0,11.0,9.0,NA,0.0
CBOS,2020-02-16,44.0,24.0,9.0,5.0,6.0,NA,12.0
Estymator / DoRzeczy.pl,2020-02-13,40.6,29.8,13.2,9.3,6.4,NA,0.7
Kantar Public,2020-02-12,41.0,26.0,10.0,7.0,4.0,NA,12.0
Social Changes / wPolityce.pl,2020-02-11,42.0,25.0,15.0,8.0,8.0,NA,2.0
"IBRiS / ""Rz""",2020-02-08,35.9,27.2,15.6,7.3,6.3,NA,7.7
Social Changes / wPolityce.pl,2020-02-04,39.0,28.0,15.0,9.0,7.0,NA,2.0
Kantar Public / TVN,2020-01-30,35.0,30.0,13.0,7.0,7.0,NA,8.0
Social Changes / wPolityce.pl,2020-01-27,39.0,27.0,17.0,9.0,7.0,NA,1.0
IBRiS / RMF,2020-01-25,38.0,26.0,15.0,7.0,6.0,NA,8.0
Estymator / DoRzeczy.pl,2020-01-24,43.5,29.7,11.8,8.7,5.9,NA,0.4
Pollster / SE.pl,2020-01-23,40.5,27.4,14.7,8.3,8.5,NA,0.7
Social Changes / wPolityce.pl,2020-01-21,41.0,26.0,17.0,7.0,8.0,NA,1.0
IBSP / wp.pl,2020-01-16,37.8,31.3,13.3,7.4,9.7,NA,0.5
Pollster / SE.pl,2020-01-16,41.1,27.5,14.5,8.5,8.1,NA,0.3
CBOS,2020-01-16,44.0,23.0,10.0,7.0,5.0,NA,11.0
Kantar Public,2020-01-15,38.0,28.0,13.0,6.0,3.0,NA,12.0
Social Changes / wPolityce.pl,2020-01-14,42.0,23.0,18.0,8.0,8.0,NA,1.0
"IBRiS / ""Rz""",2020-01-11,37.3,26.9,12.9,4.7,5.0,NA,13.2
Estymator / DoRzeczy.pl,2020-01-10,45.4,28.2,10.5,8.6,6.4,NA,0.9
Social Changes / wPolityce.pl,2020-01-07,41.0,24.0,16.0,10.0,8.0,NA,1.0
Social Changes / wPolityce.pl,2019-12-31,41.0,23.0,17.0,8.0,9.0,NA,2.0
Social Changes / wPolityce.pl,2019-12-24,41.0,23.0,17.0,8.0,9.0,NA,2.0
IBSP / wp.pl,2019-12-22,39.1,27.9,16.1,7.0,9.8,NA,0.1
Pollster / SE.pl,2019-12-22,43.5,25.5,14.4,8.1,8.0,NA,0.5
"IBRiS / ""Rz""",2019-12-20,39.8,26.8,9.9,7.5,6.1,NA,9.9
Estymator / DoRzeczy.pl,2019-12-20,44.2,27.9,11.8,8.8,6.6,NA,0.7
Kantar Public / TVN,2019-12-18,41.0,27.0,12.0,7.0,7.0,NA,6.0
Social Changes / wPolityce.pl,2019-12-17,40.0,23.0,18.0,7.0,10.0,NA,2.0
Kantar Public,2019-12-11,39.0,26.0,11.0,8.0,6.0,NA,10.0
Social Changes / wPolityce.pl,2019-12-10,40.0,22.0,19.0,10.0,8.0,NA,1.0
IBRiS / RMF,2019-12-07,35.0,25.0,12.0,5.0,7.0,NA,16.0
CBOS,2019-12-05,45.2,21.7,11.2,6.2,6.3,NA,9.4
Social Changes / wPolityce.pl,2019-12-03,40.0,24.0,16.0,9.0,9.0,NA,2.0
Kantar Public / PO,2019-11-30,35.0,28.0,14.0,9.0,12.0,NA,2.0
Pollster / SE.pl,2019-11-27,44.6,23.3,14.9,7.8,8.4,NA,1.0
Social Changes / wPolityce.pl,2019-11-26,40.0,24.0,18.0,10.0,6.0,NA,2.0
"IBRiS / ""Rz""",2019-11-23,39.6,24.8,12.8,6.0,6.2,NA,10.6
Kantar Public,2019-11-20,38.0,27.0,10.0,7.0,6.0,NA,12.0
Social Changes / wPolityce.pl,2019-11-19,40.0,25.0,17.0,8.0,9.0,NA,1.0
CBOS,2019-11-17,45.7,20.0,11.6,8.8,6.2,NA,7.7
Social Changes / wPolityce.pl,2019-11-12,42.0,25.0,15.0,9.0,8.0,NA,1.0
"Kantar Public / ""WO""",2019-11-12,38.0,27.0,14.0,7.0,9.0,NA,5.0
Pollster / SE.pl,2019-11-06,46.4,25.0,12.7,8.8,5.7,NA,1.4
Social Changes / wPolityce.pl,2019-11-05,43.0,24.0,17.0,8.0,7.0,NA,1.0
CBM Indicator / TVP,2019-11-04,44.0,26.1,14.4,8.8,6.2,NA,0.5
Social Changes / wPolityce.pl,2019-10-30,41.1,24.9,15.9,9.8,8.3,NA,0.0
IPSOS / OKO.press,2019-10-23,41.0,23.0,15.0,9.0,7.0,NA,5.0
"IBRiS / ""Rz""",2019-10-19,41.3,21.7,12.3,7.1,6.5,NA,11.1
Kantar Public,2019-10-16,39.0,27.0,14.0,7.0,7.0,NA,6.0